idx,ligand,receptor,weight,family,family_cn,group,in_cellchat,homotypic
33,Sema3f,Nrp2,0.85,Semaphorin,Semaphorin,Ephrin / Semaphorin,是,
34,Sema4d,Plxnb1,0.8,Semaphorin,Semaphorin,Ephrin / Semaphorin,是,
35,Sema6a,Plxna2,0.75,Semaphorin,Semaphorin,Ephrin / Semaphorin,是,
36,Slit1,Robo1,0.88,Slit/Robo,Slit/Robo,Slit/Robo,否,
37,Slit2,Robo2,0.85,Slit/Robo,Slit/Robo,Slit/Robo,否,
38,Slit3,Robo2,0.8,Slit/Robo,Slit/Robo,Slit/Robo,否,
39,Cxcl12,Cxcr4,0.95,Chemokine / Cytokine,趋化因子/细胞因子,Chemokine / Cytokine,是,
40,Cxcl13,Cxcr5,0.85,Chemokine / Cytokine,趋化因子/细胞因子,Chemokine / Cytokine,是,
41,Ccl2,Ccr2,0.82,Chemokine / Cytokine,趋化因子/细胞因子,Chemokine / Cytokine,是,
42,Ccl5,Ccr5,0.8,Chemokine / Cytokine,趋化因子/细胞因子,Chemokine / Cytokine,是,
43,Il1b,Il1r1,0.9,Chemokine / Cytokine,趋化因子/细胞因子,Chemokine / Cytokine,是,
44,Tnf,Tnfrsf1a,0.88,Chemokine / Cytokine,趋化因子/细胞因子,Chemokine / Cytokine,是,
45,Tgfb1,Tgfbr1,0.92,Chemokine / Cytokine,趋化因子/细胞因子,Chemokine / Cytokine,是,
46,Tgfb2,Tgfbr2,0.88,Chemokine / Cytokine,趋化因子/细胞因子,Chemokine / Cytokine,是,
47,Bmp4,Bmpr1a,0.85,BMP,BMP,BMP / Hedgehog / Reelin,是,
48,Bmp7,Bmpr2,0.8,BMP,BMP,BMP / Hedgehog / Reelin,是,
49,Bmp2,Acvr1,0.82,BMP,BMP,BMP / Hedgehog / Reelin,否,
50,Cdh1,Cdh1,0.95,Cell Adhesion,细胞黏附,Cell Adhesion / ECM,是,是
51,Cdh2,Cdh2,0.92,Cell Adhesion,细胞黏附,Cell Adhesion / ECM,是,是
52,Ncam1,Ncam1,0.85,Cell Adhesion,细胞黏附,Cell Adhesion / ECM,是,是
53,L1cam,L1cam,0.8,Cell Adhesion,细胞黏附,Cell Adhesion / ECM,是,是
54,Lama1,Itga1,0.78,Cell Adhesion,细胞黏附,Cell Adhesion / ECM,是,
55,Col1a1,Itga2,0.75,Cell Adhesion,细胞黏附,Cell Adhesion / ECM,是,
56,Vtn,Itgav,0.72,Cell Adhesion,细胞黏附,Cell Adhesion / ECM,是,
57,Shh,Ptch1,0.9,Hedgehog,Hedgehog,BMP / Hedgehog / Reelin,是,
58,Ihh,Ptch2,0.82,Hedgehog,Hedgehog,BMP / Hedgehog / Reelin,是,
59,Dhh,Ptch1,0.78,Hedgehog,Hedgehog,BMP / Hedgehog / Reelin,是,
60,Reln,Lrp8,0.9,Reelin,Reelin,BMP / Hedgehog / Reelin,否,
61,Reln,Vldlr,0.85,Reelin,Reelin,BMP / Hedgehog / Reelin,否,
